[27/Dec/2025 19:38:43] {'temperature': 27.94, 'altitude': 2.76, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40485, 'acceleration': {'z': 1.091, 'y': -0.022, 'x': 0.057}}
[27/Dec/2025 19:38:44] {'temperature': 27.95, 'altitude': 3.04, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.093, 'y': -0.025, 'x': 0.05900001}}
[27/Dec/2025 19:38:46] {'temperature': 27.96, 'altitude': 2.44, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.101, 'y': -0.021, 'x': 0.051}}
[27/Dec/2025 19:38:47] {'temperature': 27.98, 'altitude': 2.54, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.09, 'y': -0.015, 'x': 0.057}}
[27/Dec/2025 19:38:49] {'temperature': 27.99, 'altitude': 2.64, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.092, 'y': -0.02, 'x': 0.055}}
[27/Dec/2025 19:38:51] {'temperature': 28.01, 'altitude': 2.75, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.087, 'y': -0.021, 'x': 0.061}}
[27/Dec/2025 19:38:52] {'temperature': 28.03, 'altitude': 2.85, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.091, 'y': -0.02, 'x': 0.05900001}}
[27/Dec/2025 19:38:54] {'temperature': 28.04, 'altitude': 2.61, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.091, 'y': -0.018, 'x': 0.062}}
[27/Dec/2025 19:38:55] {'temperature': 28.05, 'altitude': 2.51, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.095, 'y': -0.021, 'x': 0.063}}
[27/Dec/2025 19:38:57] {'temperature': 28.06, 'altitude': 3.01, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40485, 'acceleration': {'z': 1.088, 'y': -0.023, 'x': 0.053}}
